,State,School,Abbreviation,Type,Email,Size,Website,Address,Notes
0,NY,Rockland Community College,RCC,Community,,6532,"=HYPERLINK(""https://www.sunyrockland.edu/"",""LINK"")","145 College Rd, Suffern, NY 10901",
1,RI,New England Institute Of Technology,NEIT,Private,,2516,"=HYPERLINK(""https://www.neit.edu"",""LINK"")","One New England Tech Boulevard, East Greenwich, RI 2818",
2,VT,O'Briens Aveda Institute,OAI,Public,,30,"=HYPERLINK(""https://www.obriensavedainstitute.org"",""LINK"")","400 Cornerstone Dr 220, Williston, VT 5495",
3,CA,Platt College-Anaheim,PC,Public,,459,"=HYPERLINK(""https://www.plattcollege.edu"",""LINK"")","1551 South Douglass Road, Anaheim, CA 92806",
4,CO,Emily Griffith Technical College,EGTC,Community,,5527,"=HYPERLINK(""https://www.emilygriffith.edu"",""LINK"")","1860 Lincoln Street, Denver, CO 80203",
5,CT,Gateway Community College,GCC,Community,,6864,"=HYPERLINK(""https://www.gatewayct.edu/"",""LINK"")","20 Church Street, New Haven, CT 6510",
6,CA,Saybrook University,SU,Private,,688,"=HYPERLINK(""https://www.saybrook.edu"",""LINK"")","55 W Eureka Street, Pasadena, CA 91103",
7,GA,Emory University,EU,Private,,14415,"=HYPERLINK(""https://www.emory.edu"",""LINK"")","201 Dowman Drive, Atlanta, GA 30322",
8,IN,Christina And Company Education Center,CCEC,Public,,5,"=HYPERLINK(""https://www.ccedcenter.com"",""LINK"")","220 Meijer Drive, Lafayette, IN 47905",
9,MD,Women'S Institute Of Torah Seminary,WITS,Private,,100,"=HYPERLINK(""https://www.maalotbaltimore.org/"",""LINK"")","6602 Park Heights Avenue, Baltimore, MD 21215",
10,NJ,Yeshiva Gedolah Of Cliffwood,YGC,Private,,93,"=HYPERLINK(""https://www.yeshivagedolahcliffwood.com"",""LINK"")","200 Center Street, Keyport, NJ 7735",
11,FL,Suncoast Technical Education Center,STEC,Community,,63,"=HYPERLINK(""https://www.sunteched.com"",""LINK"")","4057 California Street, Brooksville, FL 34604",
12,CA,Independent Training & Apprenticeship Program,ITAP,Public,,21,"=HYPERLINK(""https://www.i-tap.com"",""LINK"")","9856 Business Park Drive, Sacramento, CA 95827",
13,TX,The Salon Professional Academy-Georgetown,SPA,Public,,29,"=HYPERLINK(""https://www.tspageorgetown.com/"",""LINK"")","901 South Ih 35, Georgetown, TX 78626",
14,PR,Escuela De Artes Plasticas Y Diseno De Puerto Rico,EDAPYDDPR,Community,,441,"=HYPERLINK(""https://www.eap.edu"",""LINK"")","Barrio Ballaja Campo Del Morro, San Juan, PR 902",
15,TX,Texas Tech University Health Sciences Center-El Paso,TTUHSCP,Community,,765,"=HYPERLINK(""https://www.elpaso.ttuhsc.edu/"",""LINK"")","5001 El Paso Drive, El Paso, TX 79905",
16,PA,Harrisburg University Of Science And Technology,HUST,Private,,4291,"=HYPERLINK(""https://www.HarrisburgU.edu"",""LINK"")","326 Market Street, Harrisburg, PA 17101",
17,UT,Neumont College Of Computer Science,NCCS,Public,,474,"=HYPERLINK(""https://www.neumont.edu"",""LINK"")","143 South Main Street, Salt Lake City, UT 84111",
18,NY,Manhattan Institute,MI,Public,,552,"=HYPERLINK(""https://www.manhattaninstitute.edu"",""LINK"")","45 West 34Th Street, New York, NY 10001",
19,MA,"Springfield College-Regional, Online, And Continuing Education",SCOCE,Private,,755,"=HYPERLINK(""https://www.springfield.edu/school-of-professional-and-continuing-studies"",""LINK"")","Springfield College - Regional, Online, And Continuing Education, Springfield, MA 1109",
20,GA,Chamberlain University-Georgia,CU,Public,,1145,"=HYPERLINK(""https://www.chamberlain.edu/"",""LINK"")","5775 Peachtree-Dunwoody Road, Ne, Suite A100, Atlanta, GA 30342",
21,CA,Franciscan School Of Theology,FST,Private,,54,"=HYPERLINK(""https://www.fst.edu"",""LINK"")","4050 Mission Avenue, Oceanside, CA 92057",
22,NJ,Monmouth County Vocational School District,MCVSD,Community,,52,"=HYPERLINK(""https://www.mcvsd.org"",""LINK"")","4000 Kozloski Rd, Freehold, NJ 7728",
23,CA,Riverside County Office Of Education-School Of Career Education,RCOECE,Community,,291,"=HYPERLINK(""https://www.riversidesce.org"",""LINK"")","2100 E. Alessandro Blvd., Indio, CA 92508",
24,CA,West Coast University-Center For Graduate Studies,WCUFGS,Public,,580,"=HYPERLINK(""https://www.westcoastuniversity.edu/"",""LINK"")","590 North Vermont Avenue, Los Angeles, CA 90004",
25,MD,Paul Mitchell The School-Jessup,PMS,Public,,123,"=HYPERLINK(""https://www.paulmitchell.edu/jessup"",""LINK"")","7351 Assateague Drive, Suite 370, Jessup, MD 20794",
26,PR,Caribbean Aviation Training Institute Inc,CATII,Public,,222,"=HYPERLINK(""https://www.caribav.com/"",""LINK"")","Ave. José A. Santana, Ed. World Cargo, 2Nd Floor Base Muñiz, Carolina, PR 979",
27,WY,University Of Wyoming,UW,Community,,12249,"=HYPERLINK(""https://www.uwyo.edu"",""LINK"")","Corner Of Ninth And Ivinson, Laramie, WY 82071",
28,TN,Cumberland University,CU,Private,,2550,"=HYPERLINK(""https://www.cumberland.edu"",""LINK"")","1 Cumberland Square, Lebanon, TN 37087",
29,TX,Weatherford College,WC,Community,,5943,"=HYPERLINK(""https://www.wc.edu"",""LINK"")","225 College Park Drive, Weatherford, TX 76086",
30,NJ,Branford Hall Career Institute-Jersey City,BHCIC,Public,,208,"=HYPERLINK(""https://www.schooliya.com/peg/JerseyCity/index.html"",""LINK"")","40 Journal Square, 1St Floor, Jersey City, NJ 7306",
31,LA,Blue Cliff College-Shreveport,BCC,Public,,N/A,"=HYPERLINK(""https://www.bluecliffcollege.edu"",""LINK"")","8731 Park Plaza Drive, Shreveport, LA 71105",
